기준일,기준시,신규확진자 수,누적확진자 수,신규완치자 수,누적완치자 수,사망자 수,자가격리인원
2020-02-07,18시,0,0,0,0,,15
2020-02-08,18시,0,0,0,0,,15
2020-02-09,18시,0,0,0,0,,11
2020-02-10,18시,0,0,0,0,,12
2020-02-11,18시,0,0,0,0,,8
2020-02-12,18시,0,0,0,0,,6
2020-02-13,18시,0,0,0,0,,5
2020-02-14,18시,0,0,0,0,,1
2020-02-15,18시,0,0,0,0,,1
2020-02-16,18시,0,0,0,0,,1
2020-02-17,18시,0,0,0,0,,0
2020-02-18,18시,0,0,0,0,,2
2020-02-19,18시,0,0,0,0,,2
2020-02-20,18시,0,0,0,0,,2
2020-02-21,18시,0,0,0,0,,2
2020-02-22,18시,0,0,0,0,,2
2020-02-23,18시,1,1,0,0,,7
2020-02-24,18시,1,2,0,0,,11
2020-02-25,18시,0,2,0,0,,12
2020-02-26,18시,2,4,0,0,,18
2020-02-27,18시,0,4,0,0,,224
2020-02-28,18시,0,4,0,0,,204
2020-02-29,18시,0,4,0,0,,233
2020-03-01,18시,0,4,0,0,,304
2020-03-02,18시,0,4,0,0,,333
2020-03-03,18시,0,4,0,0,,323
2020-03-04,18시,0,4,0,0,,318
2020-03-05,18시,0,4,2,2,,320
2020-03-06,18시,0,4,0,2,,317
2020-03-07,18시,0,4,0,2,,304
2020-03-08,18시,0,4,0,2,,93
2020-03-09,18시,0,4,0,2,,89
2020-03-10,18시,1,5,0,2,,88
2020-03-11,18시,0,5,1,3,,67
2020-03-12,18시,0,5,0,3,,24
2020-03-13,18시,0,5,0,3,,26
2020-03-14,18시,0,5,0,3,,32
2020-03-15,18시,0,5,0,3,,27
2020-03-16,18시,0,5,0,3,,29
2020-03-17,18시,0,5,0,3,,30
2020-03-18,18시,0,5,0,3,,40
2020-03-19,18시,0,5,0,3,,41
2020-03-20,18시,0,5,0,3,,42
2020-03-21,18시,2,7,0,3,,42
2020-03-22,18시,0,7,0,3,,57
2020-03-23,18시,0,7,0,3,,55
2020-03-24,18시,0,7,0,3,,51
2020-03-25,18시,1,8,0,3,,51
2020-03-26,18시,0,8,0,3,,64
2020-03-27,18시,1,9,0,3,,91
2020-03-28,18시,0,9,0,3,,98
2020-03-29,18시,0,9,0,3,,155
2020-03-30,18시,0,9,0,3,,188
2020-03-31,18시,1,10,0,3,,221
2020-04-01,18시,0,10,0,3,,247
2020-04-02,18시,0,10,1,4,,267
2020-04-03,18시,0,10,0,4,,300
2020-04-04,18시,2,12,0,4,,316
2020-04-05,18시,0,12,0,4,,352
2020-04-06,18시,0,12,0,4,,428
2020-04-07,18시,1,13,0,4,,475
2020-04-08,18시,0,13,1,5,,481
2020-04-09,18시,0,13,0,5,,498
