order_id,customer_id,product_id,quantity,amount,channel,order_date
O00001,C0304,P053,3,89700.0,app,2025-03-08
O00002,C0276,P016,1,129900.0,web,2025/04/21
O00003,C0357,P044,2,19800.0,app,20250608
O00004,C0451,P059,2,179800.0,web,2025-05-05
O00005,C0172,P054,1,29900.0,app,2025/03/28
O00006,C0417,P040,1,9900.0,web,20250216
O00007,C0201,P026,1,129900.0,web,2025-06-04
O00008,C0445,P016,100,259800.0,app,2025/06/28
O00009,C0393,P028,1,-50000.0,app,20250528
O00010,C0324,P001,1,49900.0,app,2025-01-13
O00011,C0035,P036,1,29900.0,web,2025/02/13
O00012,C0465,P010,2,19800.0,web,20250601
O00013,C0482,P043,1,129900.0,app,2025-05-05
O00014,C0216,P017,1,89900.0,app,2025/04/29
O00015,C0480,P057,2,179800.0,APP,20250511
O00016,C0065,P059,1,89900.0,app,2025-05-06
O00017,C0008,P023,2,19800.0,app,2025/05/18
O00018,C0301,P007,2,59800.0,app,20250218
O00019,C0343,P044,1,9900.0,web,2025-05-04
O00020,C0431,P053,1,29900.0,web,2025/03/19
O00021,C0424,P007,1,29900.0,web,20250510
O00022,C0332,P044,2,19800.0,web,2025-04-13
O00023,C0438,P015,1,129900.0,app,2025/04/15
O00024,C0076,P034,2,19800.0,app,20250430
O00025,C0174,P046,2,399800.0,app,2025-01-31
O00026,C0047,P045,3,599700.0,web,2025/03/09
O00027,C0015,P004,2,259800.0,app,20250206
O00028,C0361,P014,2,99800.0,web,2025-01-24
O00029,C0147,P014,3,149700.0,app,2025/02/13
O00030,C0026,P016,2,259800.0,web,20250324
O00031,C0308,P007,1,29900.0,app,2025-02-10
O00032,C0093,P032,2,259800.0,web,2025/06/28
O00033,C0406,P019,1,49900.0,web,20250211
O00034,C0232,P002,2,179800.0,app,2025-04-18
O00035,C0021,P010,1,9900.0,app,2025/02/09
O00036,C0307,P050,2,19800.0,app,20250217
O00037,C0038,P017,2,179800.0,app,2025-04-23
O00038,C0276,P037,2,99800.0,APP,2025/03/25
O00039,C0157,P012,2,59800.0,APP,20250104
O00040,C0179,P006,1,9900.0,app,2025-04-18
O00041,C0132,P022,2,19800.0,app,2025/03/01
O00042,C0311,P032,1,129900.0,web,20250424
O00043,C0455,P041,1,89900.0,app,2025-06-16
O00044,C0348,P020,2,19800.0,web,2025/01/05
O00045,C0028,P001,3,149700.0,APP,20250416
O00046,C0260,P054,1,29900.0,web,2025-01-06
O00047,C0406,P047,1,199900.0,web,2025/01/14
O00048,C0076,P053,1,29900.0,app,20250506
O00049,C0429,P058,1,199900.0,web,2025-05-20
O00050,C0067,P006,2,19800.0,web,2025/03/03
O00051,C0342,P019,3,149700.0,app,20250127
O00052,C0492,P018,1,89900.0,app,2025-02-23
O00053,C0194,P006,1,9900.0,app,2025/03/31
O00054,C0472,P045,1,199900.0,web,20250112
O00055,C0162,P033,2,259800.0,app,2025-05-16
O00056,C0347,P023,2,19800.0,web,2025/03/15
O00057,C0439,P023,2,19800.0,web,20250524
O00058,C0361,P026,1,129900.0,app,2025-06-29
O00059,C0257,P013,1,199900.0,app,2025/01/26
O00060,C0072,P007,3,89700.0,app,20250516
O00061,C0087,P015,2,259800.0,app,2025-02-14
O00062,C0422,P044,1,9900.0,web,2025/03/25
O00063,C0262,P027,2,59800.0,app,20250527
O00064,C0214,P026,1,129900.0,web,2025-05-25
O00065,C0153,P033,1,129900.0,APP,2025/04/13
O00066,C0210,P015,1,129900.0,app,20250504
O00067,C0401,P036,1,29900.0,app,2025-05-03
O00068,C0061,P045,2,399800.0,app,2025/04/26
O00069,C0268,P055,1,129900.0,app,20250606
O00070,C0262,P027,1,29900.0,app,2025-01-14
O00071,C0218,P057,1,89900.0,web,2025/01/17
O00072,C0283,P005,1,199900.0,web,20250113
O00073,C0136,P002,1,89900.0,app,2025-04-03
O00074,C0467,P055,1,129900.0,app ,2025/03/04
O00075,C0380,P058,3,599700.0,web,20250202
O00076,C0362,P033,2,259800.0,web,2025-01-29
O00077,C0449,P016,1,129900.0,web,2025/02/06
O00078,C0441,P023,1,9900.0,app,20250413
O00079,C0093,P038,1,49900.0,web,2025-06-23
O00080,C0109,P055,1,129900.0,web,2025/01/24
O00081,C0241,P016,1,129900.0,app,20250522
O00082,C0355,P014,2,99800.0,app,2025-05-13
O00083,C0424,P029,1,29900.0,web,2025/05/05
O00084,C0142,P026,2,259800.0,web,20250222
O00085,C0291,P035,1,49900.0,app,2025-03-29
O00086,C0432,P015,1,129900.0,app,2025/04/08
O00087,C0237,P003,3,599700.0,APP,20250424
O00088,C0340,P023,1,9900.0,app,2025-04-05
O00089,C0312,P029,1,29900.0,web,2025/06/07
O00090,C0177,P034,2,19800.0,app,20250430
