STD_YM|BLOCK_CD|X_COORD|Y_COORD|MAN_FLOW_POP_CNT_10G|MAN_FLOW_POP_CNT_20G|MAN_FLOW_POP_CNT_30G|MAN_FLOW_POP_CNT_40G|MAN_FLOW_POP_CNT_50G|MAN_FLOW_POP_CNT_60GU|WMAN_FLOW_POP_CNT_10G|WMAN_FLOW_POP_CNT_20G|WMAN_FLOW_POP_CNT_30G|WMAN_FLOW_POP_CNT_40G|WMAN_FLOW_POP_CNT_50G|WMAN_FLOW_POP_CNT_60GU
202510|11230510101020000001|956633.991787|1947479.147389|0|0.05|0.05|0.1|0.1|0.1|0.03|0.1|0.05|0.05|0.08|0.08
202510|11230510101020000001|956683.991787|1947429.147389|0|0.05|0.1|0.1|0.1|0.1|0|0.05|0.05|0.05|0.05|0.05
202510|11230510101020000001|956683.991787|1947479.147389|0|0.05|0.05|0.08|0.1|0.08|0|0.05|0.05|0.05|0.05|0.05
202510|11230510101020000001|956683.991787|1947579.147389|0|0.08|0.1|0.1|0.13|0.1|0|0.08|0.1|0.1|0.08|0.08
202510|11230510101020000001|956733.991787|1947379.147389|0.38|0.58|0.81|0.97|1.04|1.07|0.36|0.61|0.69|0.76|0.74|0.79
202510|11230510101020000001|956733.991787|1947429.147389|0|0.05|0.05|0.05|0.05|0.05|0|0.08|0.05|0.05|0.05|0.08
202510|11230510101020000001|956733.991787|1947479.147389|0|0|0|0|0.03|0|0|0.03|0|0|0|0
202510|11230510101020000001|956733.991787|1947529.147389|0|0.03|0.05|0.05|0.05|0.03|0|0.03|0.05|0.05|0.03|0
202510|11230510101020000001|956733.991787|1947579.147389|0|0.05|0.1|0.1|0.1|0.1|0|0.05|0.05|0.05|0.05|0.05
202510|11230510101020000001|956733.991787|1947629.147389|0|0.05|0.1|0.1|0.1|0.08|0|0.05|0.05|0.05|0.05|0.08
202510|11030740510010000001|956733.991787|1947679.147389|0.08|0.13|0.2|0.2|0.2|0.18|0.08|0.13|0.15|0.15|0.13|0.13
202510|11230510101020000001|956783.991787|1947329.147389|0.08|0.15|0.33|0.43|0.48|0.48|0.08|0.2|0.25|0.25|0.23|0.25
202510|11230510101020000001|956783.991787|1947379.147389|0|0.05|0.1|0.1|0.1|0.05|0|0.1|0.08|0.05|0.05|0.05
202510|11230510101020000001|956783.991787|1947479.147389|0|0.05|0.05|0.05|0.05|0.05|0|0.05|0.05|0.05|0.05|0.03
