STD_YM|BLOCK_CD|X_COORD|Y_COORD|TMST_00|TMST_01|TMST_02|TMST_03|TMST_04|TMST_05|TMST_06|TMST_07|TMST_08|TMST_09|TMST_10|TMST_11|TMST_12|TMST_13|TMST_14|TMST_15|TMST_16|TMST_17|TMST_18|TMST_19|TMST_20|TMST_21|TMST_22|TMST_23
202508|32010350100010000001|1000583.991787|1969379.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.1|0.13|0.13|0.13|0.1|0.13|0.1|0.13|0.13|0.1|0.1|0.08|0.05|0.05|0.05|0.05
202508|32010350100010000001|1000583.991787|1969429.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.08|0.1|0.15|0.15|0.15|0.15|0.13|0.1|0.1|0.1|0.08|0.08|0.05|0.03|0.03
202508|32010350100010000001|1000583.991787|1969529.147389|0.03|0.03|0.03|0|0.03|0.03|0.03|0.05|0.08|0.1|0.13|0.1|0.1|0.13|0.1|0.13|0.1|0.1|0.1|0.08|0.05|0.05|0.05|0.05
202508|32010350100010000001|1000583.991787|1969579.147389|0|0|0|0|0|0|0|0|0|0.03|0|0.03|0.03|0.03|0.03|0|0.03|0.03|0.03|0|0|0|0|0
202508|32010350100010000001|1000583.991787|1969629.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.08|0.08|0.13|0.13|0.13|0.13|0.1|0.1|0.1|0.08|0.08|0.05|0.05|0.03|0.03
202508|32010350100010000001|1000583.991787|1969679.147389|0.03|0.03|0|0|0|0|0.03|0.03|0.05|0.08|0.13|0.13|0.1|0.13|0.1|0.1|0.08|0.1|0.08|0.05|0.05|0.05|0.03|0.03
202508|32010350100010000001|1000583.991787|1969779.147389|0.03|0.03|0|0|0|0.03|0.03|0.03|0.05|0.05|0.05|0.1|0.1|0.1|0.1|0.08|0.08|0.08|0.05|0.05|0.05|0.03|0.03|0.03
202508|32010350100010000001|1000633.991787|1969179.147389|0|0|0|0|0|0|0|0|0|0|0|0.03|0|0|0|0|0|0|0|0|0|0|0|0
202508|32010350100010000001|1000633.991787|1969379.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.1|0.13|0.13|0.13|0.1|0.13|0.13|0.13|0.13|0.1|0.1|0.08|0.05|0.05|0.05|0.05
202508|32010350100010000001|1000633.991787|1969529.147389|0.03|0.03|0.03|0|0.03|0.03|0.03|0.05|0.08|0.1|0.13|0.13|0.1|0.13|0.13|0.13|0.13|0.1|0.1|0.08|0.05|0.05|0.05|0.05
202508|32010350100010000001|1000633.991787|1969579.147389|0.05|0.03|0.03|0.03|0.03|0.03|0.08|0.08|0.18|0.23|0.28|0.43|0.3|0.3|0.3|0.25|0.25|0.23|0.23|0.18|0.13|0.08|0.05|0.05
202508|32010350100010000001|1000633.991787|1969679.147389|0.03|0.03|0.03|0|0|0.03|0.03|0.05|0.08|0.1|0.13|0.2|0.15|0.13|0.13|0.13|0.13|0.13|0.13|0.1|0.08|0.05|0.05|0.03
202508|32010350100010000001|1000633.991787|1969729.147389|0.03|0.03|0|0|0|0.03|0.03|0.03|0.08|0.1|0.13|0.18|0.13|0.13|0.13|0.13|0.1|0.13|0.1|0.08|0.08|0.05|0.05|0.03
202508|32010350100010000001|1000683.991787|1969429.147389|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03|0
202508|32010350100010000001|1000683.991787|1969479.147389|0.03|0|0|0|0|0|0.03|0.03|0.03|0.05|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03|0.03
202508|32010350100010000001|1000683.991787|1969529.147389|0.03|0|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.08|0.08|0.08|0.08|0.05|0.05|0.05|0.05|0.03|0.03
202508|32010350100010000001|1000683.991787|1970079.147389|0|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0|0
202508|32010350100010000001|1000733.991787|1969379.147389|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03|0
202508|32010350100010000001|1000733.991787|1969579.147389|0.05|0.03|0.03|0.03|0.03|0.03|0.05|0.1|0.18|0.25|0.3|0.41|0.38|0.41|0.43|0.41|0.33|0.3|0.28|0.23|0.18|0.13|0.1|0.08
202508|32010350100010000001|1000733.991787|1969629.147389|0|0|0|0|0|0|0.03|0.03|0.05|0.08|0.13|0.28|0.25|0.25|0.25|0.2|0.15|0.1|0.08|0.05|0.05|0.03|0.03|0.03
202508|32010350100010000001|1000783.991787|1969529.147389|0.03|0|0|0|0|0|0.03|0.03|0.08|0.08|0.18|0.36|0.33|0.3|0.33|0.28|0.18|0.13|0.1|0.08|0.05|0.03|0.03|0.03
202508|32010350100010000001|1000783.991787|1969579.147389|0.1|0.08|0.05|0.05|0.05|0.08|0.15|0.23|0.43|0.56|0.66|0.89|0.71|0.76|0.71|0.71|0.66|0.56|0.51|0.41|0.3|0.23|0.18|0.18
202508|32010350100010000001|1000783.991787|1969629.147389|0.05|0.03|0.03|0.03|0.03|0.03|0.03|0.08|0.1|0.13|0.15|0.15|0.13|0.15|0.15|0.15|0.15|0.13|0.13|0.1|0.08|0.05|0.05|0.05
202508|32010350100010000001|1000783.991787|1970029.147389|0|0.03|0|0|0|0|0.03|0.03|0.03|0.05|0.1|0.1|0.1|0.1|0.1|0.1|0.08|0.08|0.05|0.05|0.05|0.05|0.03|0.03
202508|32010350100010000001|1000833.991787|1969379.147389|0.03|0|0|0|0|0|0.03|0.03|0.05|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.05|0.05|0.03|0.03|0.03
202508|32010350100010000001|1000833.991787|1969429.147389|0.05|0.03|0.03|0.03|0.03|0.03|0.05|0.1|0.15|0.18|0.2|0.2|0.18|0.2|0.18|0.2|0.18|0.15|0.18|0.13|0.1|0.08|0.08|0.08
202508|32010350100010000001|1000833.991787|1969479.147389|0.13|0.08|0.08|0.05|0.05|0.1|0.13|0.2|0.36|0.43|0.48|0.61|0.53|0.53|0.53|0.53|0.48|0.48|0.43|0.36|0.28|0.23|0.18|0.15
202508|32010350100010000001|1000833.991787|1969529.147389|0.15|0.1|0.08|0.08|0.08|0.13|0.18|0.28|0.48|0.64|0.76|1.07|0.91|0.91|0.91|0.89|0.76|0.71|0.64|0.48|0.38|0.28|0.23|0.2
202508|32010350100010000001|1000833.991787|1969579.147389|0.13|0.08|0.08|0.08|0.08|0.1|0.18|0.28|0.48|0.64|0.84|1.22|1.04|1.04|1.02|0.94|0.84|0.74|0.66|0.51|0.38|0.28|0.2|0.18
202508|32010350100010000001|1000833.991787|1969629.147389|0.1|0.08|0.05|0.05|0.05|0.08|0.13|0.2|0.36|0.43|0.61|0.89|0.76|0.74|0.74|0.71|0.58|0.56|0.48|0.38|0.3|0.23|0.18|0.15
202508|32010350100010000001|1000833.991787|1969929.147389|0.03|0.03|0|0|0|0.03|0.03|0.05|0.08|0.1|0.2|0.3|0.28|0.28|0.28|0.23|0.18|0.15|0.13|0.08|0.08|0.05|0.05|0.03
202508|32010350100010000001|1000833.991787|1969979.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.08|0.08|0.15|0.2|0.23|0.2|0.23|0.2|0.2|0.18|0.18|0.15|0.13|0.13|0.1|0.08|0.05
202508|32010350100010000001|1000833.991787|1970029.147389|0.1|0.08|0.05|0.05|0.05|0.05|0.13|0.18|0.3|0.46|0.64|0.79|0.69|0.71|0.74|0.71|0.61|0.58|0.53|0.41|0.36|0.28|0.23|0.15
202508|32010350100010000001|1000833.991787|1970079.147389|0|0|0|0|0|0|0.03|0.03|0.03|0.05|0.08|0.1|0.08|0.08|0.08|0.08|0.05|0.08|0.05|0.05|0.05|0.05|0.03|0.03
202508|32010350100010000001|1000883.991787|1969429.147389|0.03|0|0|0|0|0|0.03|0.03|0.05|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.05|0.05|0.03|0.03|0.03
202508|32010350100010000001|1000883.991787|1969479.147389|0.03|0.03|0|0|0.03|0.03|0.03|0.05|0.08|0.1|0.1|0.1|0.1|0.13|0.1|0.13|0.1|0.1|0.1|0.08|0.05|0.05|0.03|0.05
202508|32010350100010000001|1000883.991787|1969529.147389|0.15|0.1|0.08|0.08|0.08|0.13|0.18|0.28|0.48|0.61|0.76|1.02|0.89|0.89|0.89|0.86|0.74|0.69|0.64|0.48|0.38|0.3|0.25|0.2
202508|32010350100010000001|1000883.991787|1969579.147389|0.23|0.13|0.13|0.1|0.1|0.15|0.3|0.51|0.86|1.19|1.45|2.08|1.78|1.88|1.8|1.7|1.47|1.27|1.19|0.91|0.66|0.51|0.41|0.33
202508|32010350100010000001|1000883.991787|1969629.147389|0.18|0.13|0.1|0.08|0.08|0.13|0.23|0.36|0.61|0.81|0.99|1.4|1.22|1.24|1.24|1.17|0.99|0.91|0.84|0.64|0.48|0.36|0.28|0.23
202508|32010350100010000001|1000883.991787|1969679.147389|0.2|0.13|0.1|0.08|0.08|0.13|0.25|0.38|0.66|0.91|1.27|1.8|1.52|1.57|1.57|1.47|1.22|1.17|1.07|0.84|0.64|0.51|0.41|0.28
202508|32010350100010000001|1000883.991787|1969729.147389|0.03|0|0|0|0|0|0.03|0.03|0.08|0.08|0.18|0.36|0.33|0.3|0.3|0.25|0.18|0.13|0.1|0.08|0.05|0.03|0.03|0.03
202508|32010350100010000001|1000883.991787|1969779.147389|0.08|0.05|0.03|0.03|0.03|0.05|0.13|0.2|0.41|0.61|0.76|1.19|1.02|1.02|0.94|0.91|0.71|0.61|0.58|0.41|0.25|0.2|0.15|0.13
202508|32010350100010000001|1000883.991787|1969829.147389|0|0|0|0|0|0|0|0.03|0.05|0.05|0.1|0.23|0.2|0.2|0.2|0.15|0.1|0.08|0.08|0.05|0.03|0.03|0.03|0
202508|32010350100010000001|1000883.991787|1969879.147389|0.08|0.08|0.05|0.05|0.05|0.08|0.13|0.15|0.25|0.36|0.51|0.74|0.64|0.64|0.61|0.56|0.46|0.46|0.41|0.3|0.28|0.23|0.15|0.1
202508|32010350100010000001|1000883.991787|1969929.147389|0.08|0.05|0.05|0.05|0.03|0.05|0.08|0.13|0.23|0.33|0.51|0.69|0.58|0.61|0.61|0.56|0.46|0.43|0.38|0.3|0.25|0.23|0.15|0.1
202508|32010350100010000001|1000883.991787|1969979.147389|0.05|0.03|0.03|0.03|0.03|0.03|0.05|0.08|0.13|0.18|0.2|0.23|0.2|0.2|0.2|0.2|0.18|0.18|0.15|0.13|0.1|0.08|0.08|0.05
202508|32010350100010000001|1000883.991787|1970029.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.08|0.1|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.05|0.08|0.05|0.05|0.03
202508|32010350100010000001|1000883.991787|1970079.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.08|0.1|0.18|0.28|0.28|0.28|0.33|0.3|0.3|0.25|0.23|0.2|0.18|0.15|0.13|0.1|0.05
202508|32010350100010000001|1000883.991787|1970129.147389|0.03|0|0|0|0|0|0.03|0.03|0.03|0.08|0.1|0.1|0.13|0.13|0.13|0.13|0.1|0.1|0.1|0.08|0.05|0.05|0.05|0.03
202508|32010350100010000001|1000883.991787|1970479.147389|0|0|0|0|0|0|0|0|0|0|0|0.03|0|0.03|0|0|0|0|0|0|0|0|0|0
202508|32010350100010000001|1000883.991787|1970529.147389|0|0|0|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0|0|0|0|0|0|0|0
202508|32010350100010000001|1000933.991787|1969179.147389|0.03|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.08|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03
202508|32010350100010000001|1000933.991787|1969229.147389|0.03|0.03|0.03|0.03|0|0.03|0.03|0.03|0.05|0.05|0.08|0.08|0.08|0.1|0.08|0.1|0.08|0.08|0.08|0.05|0.03|0.03|0.03|0.03
202508|32010350100010000001|1000933.991787|1969279.147389|0.03|0.03|0.03|0|0|0.03|0.03|0.03|0.05|0.05|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.05|0.03|0.03|0.03|0.03
202508|32010350100010000001|1000933.991787|1969329.147389|0.03|0.03|0|0|0|0|0.03|0.03|0.05|0.05|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.05|0.03|0.03|0.03|0.03
202508|32010350100010000001|1000933.991787|1969379.147389|0.05|0.03|0.03|0.03|0.03|0.05|0.05|0.1|0.15|0.2|0.28|0.38|0.38|0.41|0.38|0.36|0.28|0.28|0.23|0.15|0.13|0.1|0.08|0.05
202508|32010350100010000001|1000933.991787|1969429.147389|0.13|0.08|0.08|0.08|0.05|0.1|0.15|0.2|0.36|0.46|0.53|0.69|0.64|0.66|0.69|0.64|0.56|0.53|0.46|0.36|0.3|0.23|0.18|0.18
