STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
202508|32010350100010000001|1000583.991787|1969379.147389|2.59|2.44|2.51|2.41|2.57|0|0
202508|32010350100010000001|1000583.991787|1969429.147389|2.51|2.03|2.16|2.01|3.28|0|0
202508|32010350100010000001|1000583.991787|1969529.147389|2.51|2.24|2.11|2.16|2.84|0|0
202508|32010350100010000001|1000583.991787|1969579.147389|0.28|0.38|0.25|0.25|0.38|0|0
202508|32010350100010000001|1000583.991787|1969629.147389|2.34|1.91|2.03|1.88|3.07|0|0
202508|32010350100010000001|1000583.991787|1969679.147389|2.18|1.73|1.35|1.73|3.15|0|0
202508|32010350100010000001|1000583.991787|1969779.147389|1.7|1.4|1.47|1.35|2.24|0.03|0.03
202508|32010350100010000001|1000583.991787|1969829.147389|0.08|0.08|0.05|0.05|0.1|0|0
202508|32010350100010000001|1000633.991787|1969179.147389|0.23|0.2|0.18|0.18|0.3|0|0
202508|32010350100010000001|1000633.991787|1969379.147389|2.64|2.49|2.54|2.46|2.59|0|0
202508|32010350100010000001|1000633.991787|1969529.147389|2.69|2.39|2.24|2.31|3.02|0|0
202508|32010350100010000001|1000633.991787|1969579.147389|6.35|4.57|4.14|4.83|7.49|0|0
202508|32010350100010000001|1000633.991787|1969679.147389|3.15|2.34|2.01|2.46|3.86|0|0
202508|32010350100010000001|1000633.991787|1969729.147389|2.87|2.08|1.8|2.26|3.48|0|0
202508|32010350100010000001|1000633.991787|1969929.147389|0.05|0.05|0.05|0.03|0.08|0|0
202508|32010350100010000001|1000633.991787|1970129.147389|0.13|0.13|0.08|0.1|0.2|0.1|0.08
202508|32010350100010000001|1000683.991787|1969279.147389|0.13|0.15|0.08|0.13|0.18|0|0
202508|32010350100010000001|1000683.991787|1969429.147389|0.97|0.91|0.81|1.02|1.14|0|0
202508|32010350100010000001|1000683.991787|1969479.147389|0.97|0.91|0.84|1.04|1.17|0|0
202508|32010350100010000001|1000683.991787|1969529.147389|1.4|1.32|1.19|1.5|1.68|0|0
202508|32010350100010000001|1000683.991787|1970079.147389|0.58|0.46|0.36|0.46|0.84|0.03|0.03
202508|32010350100010000001|1000683.991787|1970129.147389|0.03|0.05|0.03|0.03|0.05|0|0
202508|32010350100010000001|1000733.991787|1969379.147389|0.84|0.81|0.71|0.91|1.02|0|0
202508|32010350100010000001|1000733.991787|1969579.147389|7.01|6.27|5.13|5.79|10.19|0|0
202508|32010350100010000001|1000733.991787|1969629.147389|3.35|2.87|2.26|2.16|4.34|0|0
202508|32010350100010000001|1000783.991787|1969529.147389|4.32|3.68|2.87|2.74|5.56|0|0
202508|32010350100010000001|1000783.991787|1969579.147389|13.97|12.47|10.52|11.94|18.41|0.03|0
202508|32010350100010000001|1000783.991787|1969629.147389|3.3|2.92|2.74|2.84|3.73|0|0
202508|32010350100010000001|1000783.991787|1970029.147389|1.85|1.47|1.14|1.47|2.67|0|0
202508|32010350100010000001|1000783.991787|1970279.147389|0.05|0.05|0.03|0.03|0.08|0.13|0.1
202508|32010350100010000001|1000833.991787|1969079.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03
202508|32010350100010000001|1000833.991787|1969129.147389|0.03|0.03|0.03|0.03|0.03|0|0
202508|32010350100010000001|1000833.991787|1969179.147389|0.03|0.03|0|0.03|0.03|0.03|0.03
202508|32010350100010000001|1000833.991787|1969379.147389|1.73|1.52|1.45|1.47|1.93|0|0
202508|32010350100010000001|1000833.991787|1969429.147389|4.27|3.94|3.89|3.84|4.47|0|0
202508|32010350100010000001|1000833.991787|1969479.147389|11.48|9.86|9.22|9.93|13.41|0.03|0.03
202508|32010350100010000001|1000833.991787|1969529.147389|17.88|15.49|13.64|14.78|20.93|0.03|0.03
202508|32010350100010000001|1000833.991787|1969579.147389|19.25|15.8|13.49|15.04|23.27|0.03|0.03
202508|32010350100010000001|1000833.991787|1969629.147389|14.1|11.68|10.03|11.13|17.15|0.05|0.05
