user_pseudo_id,medium,device_category,is_new_visitor,purchased
10077742.8228143697,organic,desktop,1,0
1019659.4958490066,organic,desktop,0,0
10339007.6737226605,organic,mobile,1,0
10386085.6881942653,organic,desktop,1,0
10404067.7211955661,organic,desktop,0,0
10461889.8118655909,organic,desktop,1,0
10507148.7695473869,organic,desktop,0,0
1057466.7913835080,cpc,mobile,0,0
1057556.6271897214,organic,desktop,1,0
10690662.4465180033,organic,mobile,0,0
10700017.8640712777,organic,mobile,1,0
10914492.1446145410,cpc,mobile,1,0
1097917630.2627026375,organic,desktop,0,0
1100470.3930416482,organic,desktop,1,0
11042559.4170347844,organic,mobile,1,0
1120413.2372855157,organic,mobile,1,0
11244054.2177805414,organic,mobile,0,1
11246000.8111822935,organic,desktop,1,0
11251067.8076493504,organic,mobile,0,1
11258820.1336384855,organic,mobile,1,0
11323277.0363075193,organic,mobile,1,0
1133831818.0570441134,organic,mobile,1,0
1141765.6657132633,organic,mobile,1,0
11466668.7196661398,organic,desktop,1,0
11576384.4503021042,organic,mobile,1,0
11599613.8173091816,organic,mobile,1,0
1169437.5532213371,organic,desktop,1,0
11713017.1986318616,organic,mobile,1,0
11839771.2059377713,organic,mobile,1,0
1190090.2553169627,organic,desktop,1,0
11903760.9274306860,organic,mobile,0,1
1191822807.0191015025,organic,desktop,1,0
1193937.6888507128,organic,desktop,1,0
1200849.9681550470,organic,desktop,1,0
12010661.3422888810,organic,desktop,1,0
1202924.2970944481,organic,desktop,0,1
1210128.8119442017,cpc,mobile,1,0
1213175.2225106956,organic,mobile,1,0
12132298.8275310447,organic,mobile,1,0
1221335.2817661170,organic,desktop,1,0
1225543.7477716023,organic,mobile,1,0
12259364.2337912645,organic,desktop,1,0
12454141.5628861017,organic,desktop,0,0
12454811.8583595415,organic,desktop,0,0
1250090.4004036369,organic,desktop,1,0
1252850.0331551815,organic,mobile,1,0
12682657.3503561486,organic,mobile,1,0
12823728.7430256640,organic,desktop,1,0
12835563.8912035895,organic,desktop,1,0
12875700.5520217399,cpc,mobile,1,0
1290845.0547403578,organic,desktop,1,0
1296227.3715417583,organic,desktop,1,0
1318180.9398766441,organic,desktop,1,0
13269473.6768507710,organic,desktop,1,0
13274032.8030561143,organic,mobile,1,0
1332759.1359482987,organic,desktop,1,0
13365806.4012800390,organic,desktop,1,0
1344304.9041513016,organic,mobile,1,0
13454462.6413320924,cpc,desktop,1,0
13502897.0264103140,organic,desktop,1,0
1351426.2913456559,organic,desktop,1,0
1358098.6889927448,organic,desktop,1,0
13649543.0927571613,organic,desktop,1,0
1366955.3869777859,cpc,tablet,0,0
1371273.6814886683,organic,mobile,1,0
1385662.1127085473,organic,desktop,1,0
