threshold,양성예측건수,precision,recall,f1
0.1,729,0.45953360768175583,0.8769633507853403,0.603060306030603
0.15,595,0.5226890756302521,0.8141361256544503,0.6366427840327533
0.2,543,0.5506445672191529,0.7827225130890052,0.6464864864864864
0.25,506,0.5652173913043478,0.7486910994764397,0.6441441441441441
0.3,482,0.5746887966804979,0.725130890052356,0.6412037037037037
0.35,449,0.5991091314031181,0.7041884816753927,0.6474127557160048
0.4,396,0.6338383838383839,0.6570680628272252,0.6452442159383034
0.45,337,0.6735905044510386,0.5942408376963351,0.631432545201669
0.5,278,0.7050359712230215,0.5130890052356021,0.593939393939394
0.55,216,0.7824074074074074,0.4424083769633508,0.5652173913043478
0.6,183,0.825136612021858,0.39528795811518325,0.5345132743362832
0.65,135,0.8740740740740741,0.3089005235602094,0.4564796905222437
0.7,112,0.875,0.25654450261780104,0.3967611336032389
