Order ID,Order Date,State/Province,Region,Country/Region,Category,Segment,Sales,Quantity,Discount,Profit,Order Year
US-2023-103800,2023-01-03,Texas,Central,United States,Office Supplies,Consumer,16.448,2,0.2,5.551199999999998,2023
US-2023-112326,2023-01-04,Illinois,Central,United States,Office Supplies,Home Office,3.539999999999999,2,0.8,-5.487,2023
US-2023-112326,2023-01-04,Illinois,Central,United States,Office Supplies,Home Office,11.784,3,0.2,4.271699999999999,2023
US-2023-112326,2023-01-04,Illinois,Central,United States,Office Supplies,Home Office,272.736,3,0.2,-64.77480000000001,2023
US-2023-141817,2023-01-05,Pennsylvania,East,United States,Office Supplies,Consumer,19.536,3,0.2,4.884,2023
US-2023-167199,2023-01-06,Kentucky,South,United States,Furniture,Home Office,2573.82,9,0.0,746.4077999999997,2023
US-2023-167199,2023-01-06,Kentucky,South,United States,Office Supplies,Home Office,5.48,2,0.0,1.4796000000000005,2023
US-2023-106054,2023-01-06,Georgia,South,United States,Office Supplies,Corporate,12.78,3,0.0,5.2398,2023
US-2023-167199,2023-01-06,Kentucky,South,United States,Office Supplies,Home Office,609.98,2,0.0,274.491,2023
US-2023-167199,2023-01-06,Kentucky,South,United States,Office Supplies,Home Office,31.12,4,0.0,0.3111999999999995,2023
US-2023-167199,2023-01-06,Kentucky,South,United States,Office Supplies,Home Office,6.54,1,0.0,3.0084,2023
US-2023-130813,2023-01-06,California,West,United States,Office Supplies,Consumer,19.44,3,0.0,9.3312,2023
US-2023-167199,2023-01-06,Kentucky,South,United States,Technology,Home Office,755.96,4,0.0,204.1092,2023
US-2023-167199,2023-01-06,Kentucky,South,United States,Technology,Home Office,391.98,2,0.0,113.67419999999998,2023
US-2023-105417,2023-01-07,Texas,Central,United States,Furniture,Consumer,76.72800000000001,3,0.6,-53.70959999999999,2023
US-2023-105417,2023-01-07,Texas,Central,United States,Office Supplies,Consumer,10.429999999999998,7,0.8,-18.252500000000005,2023
US-2023-135405,2023-01-09,Texas,Central,United States,Office Supplies,Consumer,9.344,2,0.2,1.1679999999999997,2023
US-2023-135405,2023-01-09,Texas,Central,United States,Technology,Consumer,31.200000000000003,3,0.2,9.749999999999996,2023
