experiment,variant,segment,users,conversions,revenue,runtime_days,guardrail
가입 폼 간소화,A,모바일,5200,270,10800000,21,pass
가입 폼 간소화,B,모바일,5240,391,15640000,21,pass
가입 폼 간소화,A,PC,4150,208,10400000,21,pass
가입 폼 간소화,B,PC,4180,242,12100000,21,pass
소셜증거 배치,A,신규방문,6100,177,5310000,18,pass
소셜증거 배치,B,신규방문,6150,238,7140000,18,pass
소셜증거 배치,A,재방문,5400,157,6280000,18,pass
소셜증거 배치,B,재방문,5420,165,6600000,18,pass
랜딩 CTA 문구,A,PC,6050,194,7760000,24,pass
랜딩 CTA 문구,B,PC,6120,251,10040000,24,pass
랜딩 CTA 문구,A,모바일,6080,195,5850000,24,pass
랜딩 CTA 문구,B,모바일,6150,252,7560000,24,pass
가격 표시 방식,A,모바일,5300,148,7400000,19,pass
가격 표시 방식,B,모바일,5350,184,9200000,19,pass
가격 표시 방식,A,PC,5330,149,8940000,19,pass
가격 표시 방식,B,PC,5320,180,10800000,19,pass
메일 제목 A/B,A,이메일,22000,4928,9856000,14,pass
메일 제목 A/B,B,이메일,22000,5742,11484000,14,pass
메일 제목 A/B,A,재방문,22000,5060,10120000,14,pass
메일 제목 A/B,B,재방문,22000,5764,11528000,14,pass
버튼 컬러,A,모바일,5713,172,5160000,21,pass
버튼 컬러,A,PC,4137,173,5190000,21,pass
버튼 컬러,B,모바일,5771,239,7170000,21,pass
버튼 컬러,B,PC,4179,147,4410000,21,pass
이미지 A/B,A,모바일,7780,319,6380000,18,pass
이미지 A/B,B,모바일,7820,360,7200000,18,pass
이미지 A/B,A,PC,7780,319,9570000,18,pass
이미지 A/B,B,PC,7820,360,10800000,18,pass
팝업 타이밍,A,모바일,1658,18,540000,16,srm
팝업 타이밍,A,PC,1200,17,510000,16,srm
팝업 타이밍,B,모바일,1532,23,690000,16,srm
팝업 타이밍,B,PC,1110,14,420000,16,srm
체크아웃 흐름,A,모바일,1090,45,4050000,12,aov_drop
체크아웃 흐름,A,PC,790,45,4050000,12,aov_drop
체크아웃 흐름,B,모바일,1114,70,5600000,12,aov_drop
체크아웃 흐름,B,PC,806,43,3440000,12,aov_drop
추천 위젯,A,모바일,1206,32,1280000,10,pass
추천 위젯,A,PC,874,32,1280000,10,pass
추천 위젯,B,모바일,1230,47,1880000,10,pass
추천 위젯,B,PC,890,29,1160000,10,pass
챗봇 위치,A,모바일,3526,54,1620000,28,pass
챗봇 위치,A,PC,2554,55,1650000,28,pass
챗봇 위치,B,모바일,3550,72,2160000,28,pass
챗봇 위치,B,PC,2570,44,1320000,28,pass
리뷰 노출,A,모바일,1183,28,1120000,28,pass
리뷰 노출,A,PC,857,27,1080000,28,pass
리뷰 노출,B,모바일,1195,36,1440000,28,pass
리뷰 노출,B,PC,865,22,880000,28,pass
온보딩 투어,A,신규방문,2575,64,1920000,15,pass
온보딩 투어,A,재방문,1865,65,1950000,15,pass
온보딩 투어,B,신규방문,2598,76,2280000,15,pass
온보딩 투어,B,재방문,1882,47,1410000,15,pass
검색 자동완성,A,모바일,3666,136,4080000,20,pass
검색 자동완성,A,PC,2654,135,4050000,20,pass
검색 자동완성,B,모바일,3689,175,5250000,20,pass
검색 자동완성,B,PC,2671,108,3240000,20,pass
장바구니 배지,A,모바일,3271,84,5040000,13,pass
장바구니 배지,A,PC,2369,85,5100000,13,pass
장바구니 배지,B,모바일,3294,123,7380000,13,pass
장바구니 배지,B,PC,2386,75,4500000,13,pass
무료배송 배너,A,모바일,4744,204,8160000,22,pass
무료배송 배너,A,PC,3436,205,8200000,22,pass
무료배송 배너,B,모바일,4779,301,12040000,22,pass
무료배송 배너,B,PC,3461,185,7400000,22,pass
위시리스트 버튼,A,재방문,2239,54,2160000,17,pass
위시리스트 버튼,A,신규방문,1621,54,2160000,17,pass
위시리스트 버튼,B,재방문,2262,75,3000000,17,pass
위시리스트 버튼,B,신규방문,1638,46,1840000,17,pass
필터 UI 개선,A,PC,3457,119,5950000,19,pass
필터 UI 개선,A,모바일,2503,119,5950000,19,pass
필터 UI 개선,B,PC,3486,174,8700000,19,pass
필터 UI 개선,B,모바일,2524,107,5350000,19,pass
