user_id,event_date,event,plan,segment
u_10006,2024-04-01,signup,Free,신규
u_10011,2024-04-01,signup,Free,신규
u_10016,2024-04-01,signup,Free,신규
u_10017,2024-04-01,signup,Basic,신규
u_10025,2024-04-01,signup,Basic,신규
u_10035,2024-04-01,signup,Basic,신규
u_10037,2024-04-01,signup,Free,신규
u_10041,2024-04-01,signup,Free,신규
u_10042,2024-04-01,signup,Pro,신규
u_10044,2024-04-01,signup,Basic,신규
u_10052,2024-04-01,signup,Free,신규
u_10055,2024-04-01,signup,Basic,신규
u_10058,2024-04-01,signup,Free,신규
u_10061,2024-04-01,signup,Free,신규
u_10067,2024-04-01,signup,Free,신규
u_10076,2024-04-01,signup,Free,신규
u_10078,2024-04-01,signup,Basic,신규
u_10089,2024-04-01,signup,Basic,신규
u_10006,2024-04-02,trial_start,Free,신규
u_10009,2024-04-02,signup,Free,신규
u_10010,2024-04-02,signup,Pro,신규
u_10015,2024-04-02,signup,Free,신규
u_10019,2024-04-02,signup,Free,신규
u_10021,2024-04-02,signup,Free,신규
u_10022,2024-04-02,signup,Free,신규
u_10027,2024-04-02,signup,Basic,신규
u_10029,2024-04-02,signup,Pro,신규
u_10030,2024-04-02,signup,Free,신규
u_10051,2024-04-02,signup,Pro,신규
u_10053,2024-04-02,signup,Basic,신규
u_10054,2024-04-02,signup,Free,신규
u_10060,2024-04-02,signup,Free,신규
u_10068,2024-04-02,signup,Basic,신규
u_10075,2024-04-02,signup,Free,신규
u_10080,2024-04-02,signup,Free,신규
u_10081,2024-04-02,signup,Pro,신규
u_10085,2024-04-02,signup,Basic,신규
u_10086,2024-04-02,signup,Basic,신규
u_10087,2024-04-02,signup,Free,신규
u_10097,2024-04-02,signup,Basic,신규
u_10100,2024-04-02,signup,Basic,신규
u_10104,2024-04-02,signup,Free,신규
u_10004,2024-04-03,signup,Basic,신규
u_10013,2024-04-03,signup,Free,신규
u_10014,2024-04-03,signup,Free,신규
u_10020,2024-04-03,signup,Basic,신규
u_10027,2024-04-03,trial_start,Basic,신규
u_10028,2024-04-03,signup,Free,신규
u_10033,2024-04-03,signup,Free,신규
u_10037,2024-04-03,trial_start,Free,신규
u_10044,2024-04-03,trial_start,Basic,신규
u_10047,2024-04-03,signup,Free,신규
u_10048,2024-04-03,signup,Basic,신규
u_10056,2024-04-03,signup,Free,신규
u_10057,2024-04-03,signup,Free,신규
u_10059,2024-04-03,signup,Pro,신규
u_10062,2024-04-03,signup,Free,신규
u_10063,2024-04-03,signup,Free,신규
u_10064,2024-04-03,signup,Basic,신규
u_10065,2024-04-03,signup,Free,신규
u_10068,2024-04-03,trial_start,Basic,신규
u_10069,2024-04-03,signup,Basic,신규
u_10070,2024-04-03,signup,Basic,신규
u_10073,2024-04-03,signup,Basic,신규
u_10074,2024-04-03,signup,Basic,신규
u_10084,2024-04-03,signup,Basic,신규
u_10094,2024-04-03,signup,Basic,신규
u_10096,2024-04-03,signup,Basic,신규
u_10098,2024-04-03,signup,Basic,신규
u_10101,2024-04-03,signup,Pro,신규
u_10002,2024-04-04,signup,Basic,신규
u_10003,2024-04-04,signup,Pro,신규
u_10004,2024-04-04,trial_start,Basic,신규
