person,offer_id,received_time,instance_id,reward,difficulty,duration,offer_type,is_web,is_email,is_mobile,is_social,duration_hours,reward_ratio,gender,age,became_member_on,income,missing_profile,income_quartile,membership_days,natural_end,window_end,is_capped,viewed_time,is_viewed,completed_time,reward_received,is_completed,matched_amount,dup_transaction_flag
0009655768c64bdeb2e877511632db8f,2906b810c7d4411798c6938adc9daaa5,576,66269,2,10,7,discount,1,1,1,0,168,0.2,M,33.0,2017-04-21,72000.0,0,Q3_중상,461,744,744.0,False,,0,576.0,2.0,1,10.27,0.0
0009655768c64bdeb2e877511632db8f,3f207df678b143eea3cee63160fa8bed,336,28096,0,0,4,informational,1,1,1,0,96,,M,33.0,2017-04-21,72000.0,0,Q3_중상,461,432,432.0,False,372.0,1,,,0,,
0009655768c64bdeb2e877511632db8f,5a8bc65990b245e5a138643cd4eb9837,168,15448,0,0,3,informational,0,1,1,1,72,,M,33.0,2017-04-21,72000.0,0,Q3_중상,461,240,240.0,False,192.0,1,,,0,,
0009655768c64bdeb2e877511632db8f,f19421c1d4aa40978ebb69ca19b0e20d,408,40835,5,5,5,bogo,1,1,1,1,120,1.0,M,33.0,2017-04-21,72000.0,0,Q3_중상,461,528,528.0,False,456.0,1,414.0,5.0,1,8.57,0.0
0009655768c64bdeb2e877511632db8f,fafdcd668e3743c1bb461111dcafc2a4,504,53578,2,10,10,discount,1,1,1,1,240,0.2,M,33.0,2017-04-21,72000.0,0,Q3_중상,461,744,744.0,False,540.0,1,528.0,2.0,1,14.11,0.0
00116118485d4dfda04fdbaba9a87b5c,f19421c1d4aa40978ebb69ca19b0e20d,168,15951,5,5,5,bogo,1,1,1,1,120,1.0,,,2018-04-25,,1,,92,288,288.0,False,216.0,1,,,0,,
00116118485d4dfda04fdbaba9a87b5c,f19421c1d4aa40978ebb69ca19b0e20d,576,66749,5,5,5,bogo,1,1,1,1,120,1.0,,,2018-04-25,,1,,92,696,696.0,False,630.0,1,,,0,,
0011e0d4e6b944f998e987f904e8c1e5,0b1e1539f2cc45b7b9fa7c272da2e1d7,408,41131,5,20,10,discount,1,1,0,0,240,0.25,O,40.0,2018-01-09,57000.0,0,Q2_중하,198,648,648.0,False,432.0,1,576.0,5.0,1,22.05,1.0
0011e0d4e6b944f998e987f904e8c1e5,2298d6c36e964ae4a3e7e9706d1fb8c2,168,15774,3,7,7,discount,1,1,1,1,168,0.42857142857142855,O,40.0,2018-01-09,57000.0,0,Q2_중하,198,336,336.0,False,186.0,1,252.0,3.0,1,11.93,0.0
0011e0d4e6b944f998e987f904e8c1e5,3f207df678b143eea3cee63160fa8bed,0,3066,0,0,4,informational,1,1,1,0,96,,O,40.0,2018-01-09,57000.0,0,Q2_중하,198,96,96.0,False,6.0,1,,,0,,
